temperature,humidity,smoke_gas_level,flame_detected,label
42.7,60.6,358,0,Smoke Warning
36.4,63.1,620,0,Smoke Warning
45,60.2,389,1,Smoke Warning
41.5,47.1,336,0,Smoke Warning
39.7,51.5,366,1,Smoke Warning
34.7,49.3,428,0,Smoke Warning
46.6,51.5,564,0,Smoke Warning
41.4,61.1,587,0,Smoke Warning
41.6,41.9,449,0,Smoke Warning
46.5,56.8,583,0,Smoke Warning
44.4,59.2,397,1,Smoke Warning
44.4,51.8,535,0,Smoke Warning
47.5,53.6,623,0,Smoke Warning
41.8,43.2,548,0,Smoke Warning
39.9,45.1,330,0,Smoke Warning
33.7,36.9,440,0,Smoke Warning
30.7,51.8,485,0,Smoke Warning
30.6,53.4,340,0,Smoke Warning
43.7,47.7,434,0,Smoke Warning
34.8,43.2,635,0,Smoke Warning
46.4,63.2,608,1,Smoke Warning
47.2,61.9,641,0,Smoke Warning
39.9,39.3,604,0,Smoke Warning
43,64.5,485,0,Smoke Warning
38.3,42.3,649,0,Smoke Warning
31.3,42,572,0,Smoke Warning
40.6,38,377,0,Smoke Warning
47.1,41.9,637,0,Smoke Warning
36.9,54.2,617,0,Smoke Warning
33.5,44.9,334,1,Smoke Warning
40.6,38.4,605,0,Smoke Warning
43.6,48.6,359,0,Smoke Warning
46.9,52.7,647,1,Smoke Warning
34.9,56.4,422,0,Smoke Warning
33.3,50.3,466,0,Smoke Warning
43.5,57.2,466,0,Smoke Warning
33.3,52.5,393,1,Smoke Warning
31.6,41.6,503,1,Smoke Warning
34.2,60.7,539,0,Smoke Warning
36.7,61,523,1,Smoke Warning
30.1,46.1,425,0,Smoke Warning
34.3,63.1,330,0,Smoke Warning
36.4,41.6,356,0,Smoke Warning
46.3,39.7,454,0,Smoke Warning
42.4,51.2,557,1,Smoke Warning
34.6,35.3,550,0,Smoke Warning
30.9,60.7,584,0,Smoke Warning
31.1,44.8,428,0,Smoke Warning
46.3,43.7,601,0,Smoke Warning
38,36.9,355,0,Smoke Warning
40.5,50.7,564,0,Smoke Warning
32.5,60.6,402,1,Smoke Warning
38.5,59.2,417,0,Smoke Warning
32.8,47.9,611,0,Smoke Warning
42.3,52.4,429,0,Smoke Warning
32.6,52.5,526,1,Smoke Warning
46.4,57.8,580,0,Smoke Warning
35.6,35.2,458,0,Smoke Warning
38.3,48.9,520,0,Smoke Warning
35,59.6,514,1,Smoke Warning
41.4,56.6,633,0,Smoke Warning
31,49.2,382,0,Smoke Warning
37.4,60.5,554,0,Smoke Warning
43.6,55.9,363,0,Smoke Warning
46.4,56.1,635,0,Smoke Warning
31.3,53.1,574,0,Smoke Warning
37.3,54.4,448,0,Smoke Warning
45.1,39.3,560,0,Smoke Warning
30.1,38.4,569,0,Smoke Warning
41.5,45.8,641,0,Smoke Warning
40.8,44.2,396,0,Smoke Warning
35.5,51.1,609,0,Smoke Warning
36.5,52.9,592,0,Smoke Warning
45.6,40.8,370,1,Smoke Warning
47.2,49.4,601,0,Smoke Warning
31.9,49,534,0,Smoke Warning
32.4,60,605,0,Smoke Warning
47.1,55.4,444,0,Smoke Warning
43.2,50.4,580,0,Smoke Warning
37.1,44.1,381,0,Smoke Warning
43.9,53.1,438,0,Smoke Warning
35.8,39.3,650,0,Smoke Warning
47.8,56.6,479,1,Smoke Warning
39.2,51.8,437,1,Smoke Warning
42.1,63.2,435,0,Smoke Warning
42.1,41.9,591,0,Smoke Warning
34.3,43,600,0,Smoke Warning
37.4,45.8,532,0,Smoke Warning
35.8,64.2,533,0,Smoke Warning
32.3,46.9,632,0,Smoke Warning
45,36.5,540,0,Smoke Warning
33.9,40.9,343,1,Smoke Warning
33.2,54.4,360,0,Smoke Warning
47.6,55.6,393,0,Smoke Warning
44.2,54.7,331,1,Smoke Warning
35.4,54.5,457,0,Smoke Warning
31.6,59.4,599,0,Smoke Warning
46.7,60.1,331,0,Smoke Warning
48,45.2,534,0,Smoke Warning
40.3,52.6,479,1,Smoke Warning
34,55.1,385,0,Smoke Warning
34.8,40.3,546,0,Smoke Warning
44,37.7,558,0,Smoke Warning
37.1,61.5,550,1,Smoke Warning
41.8,35.9,376,0,Smoke Warning
36.4,50.1,409,0,Smoke Warning
41.6,59.6,477,0,Smoke Warning
30.9,52.2,641,0,Smoke Warning
33.5,63.8,597,0,Smoke Warning
38.6,53.9,445,0,Smoke Warning
32.5,41.2,574,0,Smoke Warning
32.2,51,612,1,Smoke Warning
41.8,48.5,640,0,Smoke Warning
38,37,549,0,Smoke Warning
37.7,59.8,370,0,Smoke Warning
42.9,36.2,516,0,Smoke Warning
32.1,50.3,420,0,Smoke Warning
30.8,36.7,556,1,Smoke Warning
42.1,41.9,413,1,Smoke Warning
43.3,47.3,401,1,Smoke Warning
46.8,45.3,644,0,Smoke Warning
40.9,47.8,573,1,Smoke Warning
35,38.4,395,0,Smoke Warning
39.1,62.3,393,1,Smoke Warning
41.3,51.8,560,0,Smoke Warning
34.5,48.5,352,0,Smoke Warning
43.4,63.4,610,0,Smoke Warning
44.5,51.1,644,1,Smoke Warning
40.9,35.4,494,0,Smoke Warning
31,64.4,522,0,Smoke Warning
43.5,39.6,380,0,Smoke Warning
45.4,36.6,496,0,Smoke Warning
30.6,39.8,497,1,Smoke Warning
42.4,53.2,605,0,Smoke Warning
35,46.6,604,0,Smoke Warning
39.9,51.4,433,0,Smoke Warning
32.4,40.6,345,0,Smoke Warning
37.1,59.7,343,0,Smoke Warning
47.3,35.8,606,1,Smoke Warning
35.3,39,567,0,Smoke Warning
37.7,38.4,387,0,Smoke Warning
30.2,59.1,434,0,Smoke Warning
32.8,35.8,361,0,Smoke Warning
32.2,63.2,375,0,Smoke Warning
44.9,47.5,587,0,Smoke Warning
30.1,35.8,446,0,Smoke Warning
32.1,61.3,400,0,Smoke Warning
43.4,57.8,391,1,Smoke Warning
41.6,40,405,0,Smoke Warning
36.6,55.4,563,0,Smoke Warning
45.5,36.5,438,0,Smoke Warning
43.1,46.1,497,1,Smoke Warning
46,54.7,416,0,Smoke Warning
36,37.2,549,0,Smoke Warning
43.5,64,498,1,Smoke Warning
40.5,54.9,412,0,Smoke Warning
45,63.7,338,0,Smoke Warning
42.7,56,598,1,Smoke Warning
42.4,49.2,588,0,Smoke Warning
42.4,64.8,485,0,Smoke Warning
36.4,40.9,578,1,Smoke Warning
36.3,34.4,1014,0,Gas Leakage
36.2,50,960,0,Gas Leakage
30.6,42.7,986,0,Gas Leakage
41.5,53.3,890,0,Gas Leakage
33.9,42,792,0,Gas Leakage
41.9,28.5,735,0,Gas Leakage
32.5,46.9,970,0,Gas Leakage
36.2,48.3,1002,0,Gas Leakage
43.1,30.1,1057,0,Gas Leakage
30.5,38.6,863,0,Gas Leakage
28.2,38.1,1098,0,Gas Leakage
40.4,43.3,723,0,Gas Leakage
35.8,46.4,832,0,Gas Leakage
43,42.7,769,0,Gas Leakage
30.1,53.4,788,0,Gas Leakage
30.1,53,1065,0,Gas Leakage
41.7,35.8,791,0,Gas Leakage
28.6,25.4,931,0,Gas Leakage
29.6,38.2,728,0,Gas Leakage
30.1,27.8,710,0,Gas Leakage
37.6,53.9,783,0,Gas Leakage
34.3,54.9,876,0,Gas Leakage
43.4,40.9,829,0,Gas Leakage
30.5,46.6,988,0,Gas Leakage
36.7,43.4,780,0,Gas Leakage
33,41.2,969,0,Gas Leakage
29.5,40.4,962,0,Gas Leakage
35.1,51.4,763,1,Gas Leakage
41.8,44.5,735,0,Gas Leakage
38.8,29.7,654,0,Gas Leakage
42.6,25.5,972,0,Gas Leakage
38.4,37.8,985,0,Gas Leakage
39.7,27.8,1043,0,Gas Leakage
41.7,48,812,1,Gas Leakage
32.3,50.4,954,0,Gas Leakage
33.2,26.8,1045,1,Gas Leakage
32.8,36,823,0,Gas Leakage
37,42.8,849,0,Gas Leakage
38.3,39.3,878,0,Gas Leakage
42,31.1,1025,0,Gas Leakage
41,34.6,988,0,Gas Leakage
28.1,47.3,753,1,Gas Leakage
32.9,29.8,1057,0,Gas Leakage
36.2,29.5,879,0,Gas Leakage
30.4,45.6,752,0,Gas Leakage
28.7,32.4,1029,0,Gas Leakage
39.1,40.5,1056,0,Gas Leakage
32.4,27.4,741,0,Gas Leakage
28.2,25.4,691,0,Gas Leakage
33.3,41.5,660,0,Gas Leakage
30.4,35.1,743,0,Gas Leakage
39.7,44.6,1043,0,Gas Leakage
44.5,46.3,713,0,Gas Leakage
44.6,42.6,930,0,Gas Leakage
36.1,44.6,954,0,Gas Leakage
42.3,52,1004,0,Gas Leakage
44.3,50.6,1000,0,Gas Leakage
29,40.7,869,0,Gas Leakage
39.3,45.7,699,0,Gas Leakage
28.7,39.2,835,0,Gas Leakage
39,38.4,811,0,Gas Leakage
44,27,684,0,Gas Leakage
34.6,42.2,878,0,Gas Leakage
42.9,41,963,0,Gas Leakage
37.4,54.9,836,0,Gas Leakage
42.9,37.1,829,0,Gas Leakage
31.8,41.5,862,0,Gas Leakage
36.1,52.6,865,1,Gas Leakage
32.1,45.3,1029,0,Gas Leakage
37.2,32.1,771,0,Gas Leakage
41.3,35.6,686,0,Gas Leakage
28.3,49.9,971,0,Gas Leakage
44.9,51.1,718,1,Gas Leakage
29,42.4,705,0,Gas Leakage
28.9,52.4,797,0,Gas Leakage
38.1,48.7,1076,0,Gas Leakage
29.6,40.1,837,0,Gas Leakage
39.8,34.1,963,0,Gas Leakage
40.4,40.6,674,0,Gas Leakage
33.5,52.3,842,0,Gas Leakage
42.2,35.2,781,0,Gas Leakage
41.1,37.9,1076,0,Gas Leakage
37.4,43,804,0,Gas Leakage
43.4,51.3,784,0,Gas Leakage
34.9,43.2,825,0,Gas Leakage
35,40.4,847,0,Gas Leakage
31,50,794,0,Gas Leakage
37,43,1065,0,Gas Leakage
36.3,53,899,0,Gas Leakage
36.5,35.2,967,0,Gas Leakage
37.5,47.6,940,0,Gas Leakage
44.4,27.1,834,0,Gas Leakage
31.8,26.8,703,0,Gas Leakage
36.9,52.4,1091,0,Gas Leakage
43.3,43.1,845,0,Gas Leakage
29.9,37.2,711,0,Gas Leakage
39.5,31.1,713,0,Gas Leakage
33.5,26.4,872,0,Gas Leakage
43.4,46.8,1081,0,Gas Leakage
42.8,35.4,978,0,Gas Leakage
35.2,39.1,793,0,Gas Leakage
36.2,31.2,928,0,Gas Leakage
44.2,31.9,807,0,Gas Leakage
43.4,48.1,899,0,Gas Leakage
38.5,45.6,837,0,Gas Leakage
43.8,38.1,886,0,Gas Leakage
37.6,26.6,1014,0,Gas Leakage
44.3,34.6,853,0,Gas Leakage
42.9,34.8,880,0,Gas Leakage
29.5,45.1,863,0,Gas Leakage
38,42,659,0,Gas Leakage
39.8,43,722,0,Gas Leakage
30.9,49.2,670,0,Gas Leakage
43.8,54.1,730,0,Gas Leakage
44.1,29.2,1054,0,Gas Leakage
34.8,49.6,927,0,Gas Leakage
41.2,48.8,659,0,Gas Leakage
32.4,52.3,677,0,Gas Leakage
31.6,53.4,728,0,Gas Leakage
35.1,37.9,866,0,Gas Leakage
43.2,45.2,931,0,Gas Leakage
32.7,33.1,933,0,Gas Leakage
30.5,40.7,963,0,Gas Leakage
41.1,26.4,682,0,Gas Leakage
44.2,36.5,792,0,Gas Leakage
37.8,42.4,1044,0,Gas Leakage
40.7,27.9,1086,0,Gas Leakage
41.5,49.5,907,0,Gas Leakage
39.2,52.9,891,0,Gas Leakage
31.4,39,813,0,Gas Leakage
30.8,28.5,843,0,Gas Leakage
31.7,28.4,728,0,Gas Leakage
42.9,37.3,834,1,Gas Leakage
30,42.3,826,0,Gas Leakage
41.6,35.9,832,0,Gas Leakage
33.1,44.4,700,0,Gas Leakage
44.2,30.4,780,0,Gas Leakage
36.7,35.4,905,0,Gas Leakage
28.4,49.2,982,0,Gas Leakage
30.6,29.2,670,0,Gas Leakage
43.7,49,698,0,Gas Leakage
35,41.1,830,0,Gas Leakage
37.1,31.7,1067,0,Gas Leakage
29.1,30.5,744,0,Gas Leakage
28.1,28,1003,1,Gas Leakage
42,34.9,946,0,Gas Leakage
42.3,52.7,656,0,Gas Leakage
42.2,52.9,722,0,Gas Leakage
33.4,48.1,765,0,Gas Leakage
37.2,46.7,1065,0,Gas Leakage
41.3,31.1,788,0,Gas Leakage
35.2,47,840,0,Gas Leakage
38.1,31.6,855,0,Gas Leakage
34,25.3,1015,0,Gas Leakage
30.4,42.3,894,0,Gas Leakage
36.9,27.7,761,0,Gas Leakage
29.1,33.1,882,0,Gas Leakage
43.7,46.3,1091,0,Gas Leakage
31,36.1,764,0,Gas Leakage
28.4,36.1,698,0,Gas Leakage
36.5,30.2,971,0,Gas Leakage
36,28.3,786,0,Gas Leakage
44.3,44.9,812,0,Gas Leakage
31.1,38.1,1050,0,Gas Leakage
44.3,45.9,752,0,Gas Leakage
31.7,28.9,1060,0,Gas Leakage
32.1,30.3,1043,0,Gas Leakage
40.8,30.8,905,0,Gas Leakage
36,38,1092,0,Gas Leakage
34.4,43.9,711,0,Gas Leakage
44.4,31.2,801,0,Gas Leakage
33.9,25.5,694,0,Gas Leakage
36.2,41.9,947,0,Gas Leakage
30.4,53.6,1051,0,Gas Leakage
32.5,49.8,819,0,Gas Leakage
32,34.5,899,0,Gas Leakage
29.6,42.7,871,0,Gas Leakage
35.7,41.2,791,0,Gas Leakage
37.6,33.2,733,1,Gas Leakage
41.5,44.5,893,0,Gas Leakage
29.3,29,876,0,Gas Leakage
37,32.2,932,0,Gas Leakage
37.2,43.3,690,0,Gas Leakage
32.3,50.1,973,0,Gas Leakage
39.1,42.1,724,0,Gas Leakage
37,35.4,780,0,Gas Leakage
32.3,34.9,994,0,Gas Leakage
41.1,51.4,911,0,Gas Leakage
32.9,29.6,750,0,Gas Leakage
41.8,35.8,756,0,Gas Leakage
44.4,54.2,744,0,Gas Leakage
35.7,47.8,685,0,Gas Leakage
37.4,41,811,0,Gas Leakage
36.3,48.4,964,0,Gas Leakage
42.3,41.8,1073,0,Gas Leakage
36.1,47.7,986,0,Gas Leakage
28.5,39.3,769,0,Gas Leakage
38.5,43.5,1027,0,Gas Leakage
33.7,34.3,1009,0,Gas Leakage
30.4,38.3,871,0,Gas Leakage
32.3,26.1,792,0,Gas Leakage
36.9,35.7,707,0,Gas Leakage
35.7,39.8,767,0,Gas Leakage
35.2,26.1,820,0,Gas Leakage
31.9,41.5,1017,0,Gas Leakage
36.4,54.3,700,0,Gas Leakage
39.9,27,1051,0,Gas Leakage
44.7,29.4,916,0,Gas Leakage
29.2,38.5,1076,0,Gas Leakage
35.5,40.4,712,0,Gas Leakage
33.9,47.8,941,0,Gas Leakage
34,42.5,1041,0,Gas Leakage
43.8,42.7,796,0,Gas Leakage
38.7,40.5,1098,0,Gas Leakage
43.7,36.3,891,0,Gas Leakage
35.9,53.5,886,0,Gas Leakage
43.3,50.8,732,0,Gas Leakage
29.5,53.1,995,0,Gas Leakage
35,29.2,932,0,Gas Leakage
33.6,54.6,913,0,Gas Leakage
31.3,42.8,760,0,Gas Leakage
41.9,25,996,0,Gas Leakage
35.7,45.1,882,0,Gas Leakage
44.6,45.5,744,0,Gas Leakage
32,35.1,749,0,Gas Leakage
34.8,51.9,744,0,Gas Leakage
42,43.4,731,0,Gas Leakage
43.1,32.7,1075,0,Gas Leakage
41.5,37.7,767,0,Gas Leakage
40,28.9,870,0,Gas Leakage
29.6,43.8,883,0,Gas Leakage
35.2,46.1,981,0,Gas Leakage
43.8,31.8,876,0,Gas Leakage
41,27.7,971,0,Gas Leakage
34.5,32.6,906,0,Gas Leakage
42,33.4,949,0,Gas Leakage
